trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
662,True,"{'a': 0, 'e': 0}",20,0,-0.8301965234782873,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
663,True,"{'a': 0, 'e': 0}",20,0,-2.311290304553588,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
664,True,"{'a': 0, 'e': 0}",20,0,-39.79951975469346,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
665,True,"{'a': 0, 'e': 0}",20,0,-19.459128114264864,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
666,True,"{'a': 0, 'e': 0}",20,0,-26.836136289020544,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
667,True,"{'a': 0, 'e': 0}",30,0,-9.441945734234912,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
668,True,"{'a': 0, 'e': 0}",20,0,2.370756653728596,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
669,True,"{'a': 0, 'e': 0}",20,0,18.740574870151413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
670,True,"{'a': 0, 'e': 0}",20,0,-5.735630345417084,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
671,True,"{'a': 0, 'e': 0}",20,0,27.097549095402986,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
672,True,"{'a': 0, 'e': 0}",20,0,-1.4087592271322946,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
673,True,"{'a': 0, 'e': 0}",30,0,-40.1069185782908,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
674,True,"{'a': 0, 'e': 0}",20,0,-43.068280220069404,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
675,True,"{'a': 0, 'e': 0}",20,0,-6.63260505470136,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
676,True,"{'a': 0, 'e': 0}",25,0,24.852162064019982,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
677,True,"{'a': 0, 'e': 0}",20,0,-21.327804090754785,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
678,True,"{'a': 0, 'e': 0}",30,0,-58.122295534391526,"{0: 26, 1: 0, 2: 0, 3: 4, 4: 0}",0
679,True,"{'a': 0, 'e': 0}",20,0,2.652945539148681,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
680,True,"{'a': 0, 'e': 0}",25,0,-37.451456529899005,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
681,True,"{'a': 0, 'e': 0}",25,0,25.53243042671038,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
682,True,"{'a': 0, 'e': 0}",20,0,-64.13822929927153,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
683,True,"{'a': 0, 'e': 0}",20,0,-3.0327393691024316,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
684,True,"{'a': 0, 'e': 0}",20,0,4.207088448628092,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
685,True,"{'a': 0, 'e': 0}",30,0,-10.314889680943692,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
686,True,"{'a': 0, 'e': 0}",20,0,-2.0653961021206206,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
687,True,"{'a': 0, 'e': 0}",20,0,-37.20810530264859,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
688,True,"{'a': 0, 'e': 0}",20,0,-23.019751337909664,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
689,True,"{'a': 0, 'e': 0}",25,0,-16.652401894231787,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
690,True,"{'a': 0, 'e': 0}",25,0,5.012674896261645,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
691,True,"{'a': 0, 'e': 0}",25,0,2.0008715541617015,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
692,True,"{'a': 0, 'e': 0}",30,0,-17.151967883606115,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
693,True,"{'a': 0, 'e': 0}",30,0,-65.99034230873515,"{0: 26, 1: 0, 2: 0, 3: 4, 4: 0}",0
694,True,"{'a': 0, 'e': 0}",25,0,27.274185223317293,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
695,True,"{'a': 0, 'e': 0}",35,0,-28.083309824678278,"{0: 32, 1: 0, 2: 0, 3: 3, 4: 0}",0
696,True,"{'a': 0, 'e': 0}",20,0,14.67497522017293,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
697,True,"{'a': 0, 'e': 0}",20,0,-21.366017321296066,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
698,True,"{'a': 0, 'e': 0}",20,0,21.741361656313394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
699,True,"{'a': 0, 'e': 0}",25,0,0.6701958806150368,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
700,True,"{'a': 0, 'e': 0}",25,0,28.831119027817547,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
701,True,"{'a': 0, 'e': 0}",20,0,-41.21218691480898,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
702,True,"{'a': 0, 'e': 0}",20,0,18.185879274018113,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
703,True,"{'a': 0, 'e': 0}",30,0,35.413821445023494,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
704,True,"{'a': 0, 'e': 0}",25,0,-59.25744789919534,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
705,True,"{'a': 0, 'e': 0}",35,0,23.651094331932413,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
706,True,"{'a': 0, 'e': 0}",20,0,14.476323908259008,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
707,True,"{'a': 0, 'e': 0}",20,0,-14.066446562979861,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
708,True,"{'a': 0, 'e': 0}",20,0,-22.2682712375866,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
709,True,"{'a': 0, 'e': 0}",30,0,4.077818915709611,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
710,True,"{'a': 0, 'e': 0}",20,0,-20.80938524476921,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
711,True,"{'a': 0, 'e': 0}",20,0,-30.95105767729733,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
712,True,"{'a': 0, 'e': 0}",25,0,-19.029438242195035,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
713,True,"{'a': 0, 'e': 0}",20,0,-43.39476846740629,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
714,True,"{'a': 0, 'e': 0}",25,0,26.424258281667964,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
715,True,"{'a': 0, 'e': 0}",20,0,-43.11288208187338,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
716,True,"{'a': 0, 'e': 0}",20,0,3.24025132523859,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
717,True,"{'a': 0, 'e': 0}",30,0,-13.417903850985228,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
718,True,"{'a': 0, 'e': 0}",25,0,-65.27794426256521,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
719,True,"{'a': 0, 'e': 0}",25,0,-26.651428023420884,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
720,True,"{'a': 0, 'e': 0}",25,0,-19.23077574275095,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
721,True,"{'a': 0, 'e': 0}",20,0,-16.881602520897637,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
722,True,"{'a': 0, 'e': 0}",25,0,-27.190285885892358,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
723,True,"{'a': 0, 'e': 0}",20,0,-3.071704516993407,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
724,True,"{'a': 0, 'e': 0}",30,0,28.113729106901488,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
725,True,"{'a': 0, 'e': 0}",25,0,-24.714784683557582,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
726,True,"{'a': 0, 'e': 0}",25,0,-79.28105934415059,"{0: 20, 1: 0, 2: 0, 3: 5, 4: 0}",0
727,True,"{'a': 0, 'e': 0}",20,0,3.73053744060587,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
728,True,"{'a': 0, 'e': 0}",35,0,-15.180173041902382,"{0: 33, 1: 0, 2: 0, 3: 2, 4: 0}",0
729,True,"{'a': 0, 'e': 0}",25,0,8.92073705268304,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
730,True,"{'a': 0, 'e': 0}",25,0,5.409762415482895,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
731,True,"{'a': 0, 'e': 0}",30,0,-15.222664235906008,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
732,True,"{'a': 0, 'e': 0}",20,0,-5.154692735368198,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
733,True,"{'a': 0, 'e': 0}",20,0,13.997046620587783,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
734,True,"{'a': 0, 'e': 0}",25,0,25.360298597289194,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
735,True,"{'a': 0, 'e': 0}",25,0,-1.6299096644578708,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
736,True,"{'a': 0, 'e': 0}",20,0,26.81657538958054,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
737,True,"{'a': 0, 'e': 0}",30,0,-21.771505941391077,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
738,True,"{'a': 0, 'e': 0}",20,0,-14.305672510364808,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
739,True,"{'a': 0, 'e': 0}",25,0,-14.138470270783273,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
